date,profit,trade_count
2021-01-25,29300.0,9
2021-01-26,186800.0,18
2021-01-27,-61500.0,9
2021-01-28,200.0,14
2021-01-29,673400.0,14
2021-02-01,106900.0,9
2021-02-02,24300.0,11
2021-02-03,-53700.0,7
2021-02-04,31600.0,12
2021-02-05,115300.0,11
2021-02-17,-147000.0,14
2021-02-18,-56800.0,8
2021-02-19,-54500.0,9
2021-02-22,-38500.0,5
2021-02-23,-82600.0,8
2021-02-24,72100.0,13
2021-02-25,-57000.0,4
2021-02-26,-65800.0,10
2021-03-02,76800.0,8
2021-03-03,71300.0,11
2021-03-04,-74700.0,13
2021-03-05,-56800.0,6
2021-03-08,-54800.0,8
2021-03-09,-119100.0,13
2021-03-10,-12300.0,3
2021-03-11,67100.0,11
2021-03-12,-12500.0,3
2021-03-15,-50700.0,5
2021-03-16,-54000.0,6
2021-03-17,51300.0,11
2021-03-18,-16100.0,7
2021-03-19,-58000.0,6
2021-03-22,-12900.0,9
2021-03-23,-8000.0,8
2021-03-24,-4700.0,5
2021-03-25,-46100.0,9
2021-03-26,81700.0,7
2021-03-29,20400.0,8
2021-03-30,-15100.0,7
2021-03-31,23800.0,6
2021-04-01,-30100.0,7
2021-04-06,-37000.0,8
2021-04-07,-14200.0,4
2021-04-08,81100.0,9
2021-04-09,-32700.0,7
2021-04-12,-49400.0,6
2021-04-13,135900.0,11
2021-04-14,121000.0,14
2021-04-15,39700.0,3
2021-04-16,-31700.0,7
2021-04-19,16600.0,6
2021-04-20,-44200.0,4
2021-04-21,-37200.0,8
2021-04-22,-33600.0,10
2021-04-23,25600.0,6
2021-04-26,109000.0,10
2021-04-27,-44200.0,10
2021-04-28,-39800.0,8
2021-04-29,-99000.0,6
2021-05-03,-80300.0,13
2021-05-04,446200.0,16
2021-05-06,66700.0,11
2021-05-07,56400.0,10
2021-05-10,-115400.0,8
2021-05-11,-68000.0,22
2021-05-12,95900.0,15
2021-05-13,13500.0,5
2021-05-14,-7800.0,10
2021-05-17,75000.0,10
2021-05-18,487600.0,10
2021-05-19,-31400.0,12
2021-05-20,-131200.0,12
2021-05-21,60200.0,10
2021-05-24,-63000.0,10
2021-05-25,-85500.0,13
2021-05-26,-43100.0,9
2021-05-27,-114400.0,8
2021-05-28,41200.0,12
2021-05-31,-65600.0,12
2021-06-01,-47300.0,13
2021-06-02,-82600.0,16
2021-06-03,-32800.0,10
2021-06-04,-43000.0,12
2021-06-07,225400.0,18
2021-06-08,-24000.0,4
